                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.374771       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -2.74521549828104e-04
 9.74090324723404e-01 -2.25116211363722e-03
 9.47978592657343e-01 -4.28624729848467e-03
 9.22044477597662e-01 -6.35655234946426e-03
 8.96292283603149e-01 -7.93073232835359e-03
 8.70838350680047e-01 -1.11228220396808e-02
 8.45768529328208e-01 -1.58766095096438e-02
 8.21070978030455e-01 -2.19675688063778e-02
 7.96675758610776e-01 -2.90517521908350e-02
 7.72735028654223e-01 -3.69430421166748e-02
 7.49261918741976e-01 -4.54692514380114e-02
 7.26259285638090e-01 -5.45278085370219e-02
 7.03691797908612e-01 -6.39132724588044e-02
 6.81527634432306e-01 -7.34592738899492e-02
 6.59725556115779e-01 -8.30136012472420e-02
 6.38251748697119e-01 -9.24465169427866e-02
 6.17079022333403e-01 -1.01657783669622e-01
 5.96174654575153e-01 -1.10560777208495e-01
 5.75319924865196e-01 -1.19089537271393e-01
 5.54736099505658e-01 -1.27209996584516e-01
 5.34414968944383e-01 -1.34864842984091e-01
 5.14365901214027e-01 -1.42027973355841e-01
 4.94608622610288e-01 -1.48693066074686e-01
 4.75140044749686e-01 -1.54824155861680e-01
 4.55983564107421e-01 -1.60421650997552e-01
 4.37137997097533e-01 -1.65444043438676e-01
 4.18615752209663e-01 -1.69856616166298e-01
 4.00433848778418e-01 -1.73664176692803e-01
 3.82611604669467e-01 -1.76889235721977e-01
 3.65167028047450e-01 -1.79551328440268e-01
 3.48117641597367e-01 -1.81690376794528e-01
 3.31476882124288e-01 -1.83303343745973e-01
 3.15257555374296e-01 -1.84427052553938e-01
 2.99470626882010e-01 -1.85089994503804e-01
 2.84126956564734e-01 -1.85295885596182e-01
 2.69233933727936e-01 -1.85099197800539e-01
 2.54799220785707e-01 -1.84476884652842e-01
 2.40824653512512e-01 -1.83477794614470e-01
 2.27317914280011e-01 -1.82122762138420e-01
 2.14280111160201e-01 -1.80437711548445e-01
 2.01709995001150e-01 -1.78453022506082e-01
 1.89609890670555e-01 -1.76189760479445e-01
 1.77973009287414e-01 -1.73677301356322e-01
 1.66800944329517e-01 -1.70930260759469e-01
