                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.284897       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  7.24407333762307e-04
 9.83156438830611e-01  7.60516773288929e-04
 9.57980085435263e-01  9.33894348059719e-04
 9.32934925686065e-01  1.21940734038902e-03
 9.07927100833127e-01  2.01024248637054e-03
 8.82997722323530e-01  1.43837886505086e-03
 8.58244522826980e-01 -4.24162255338934e-04
 8.33740683294013e-01 -3.40437878966823e-03
 8.09545947429875e-01 -7.39992840840370e-03
 7.85714649283372e-01 -1.23244861795968e-02
 7.62302072364815e-01 -1.81582024089061e-02
 7.39318554748577e-01 -2.47074025632905e-02
 7.16763356103520e-01 -3.17908862844222e-02
 6.94622816021476e-01 -3.92894089339853e-02
 6.72885338134562e-01 -4.70757961886463e-02
 6.51549468461692e-01 -5.50101321814478e-02
 6.30588028943141e-01 -6.29698356030362e-02
 6.09975455069567e-01 -7.08473862599075e-02
 5.89686020408595e-01 -7.85365444093368e-02
 5.69702883927677e-01 -8.59545260934430e-02
 5.50016488964335e-01 -9.30387135071808e-02
 5.30616807762403e-01 -9.97202018493991e-02
 5.11505138780827e-01 -1.05961699364057e-01
 4.92686919282212e-01 -1.11735138563347e-01
 4.74168894581583e-01 -1.17013530533641e-01
 4.55960300824328e-01 -1.21779426067322e-01
 4.38075543460430e-01 -1.26036821862532e-01
 4.20530473986323e-01 -1.29797647389543e-01
 4.03338113477137e-01 -1.33064691655264e-01
 3.86510354974280e-01 -1.35840816938864e-01
 3.70062735077198e-01 -1.38157765911558e-01
 3.54003981508752e-01 -1.40012124789365e-01
 3.38346229383465e-01 -1.41436448158794e-01
 3.23097789609806e-01 -1.42441668862068e-01
 3.08267183478221e-01 -1.43070419545631e-01
 2.93859526480172e-01 -1.43316106054661e-01
 2.79879592533555e-01 -1.43212531640760e-01
 2.66331073091091e-01 -1.42784378603918e-01
 2.53214633835691e-01 -1.42054770055499e-01
 2.40531678890753e-01 -1.41037756980611e-01
 2.28281902473937e-01 -1.39748861947463e-01
 2.16462971577647e-01 -1.38214368590234e-01
 2.05072767809594e-01 -1.36449834266054e-01
 1.94108388137483e-01 -1.34469555749234e-01
 1.83564318936164e-01 -1.32297587829716e-01
 1.73436514146625e-01 -1.29947391517227e-01
 1.63718797940060e-01 -1.27436457054482e-01
 1.54403453308380e-01 -1.24784927072118e-01
 1.45481097338586e-01 -1.22015498199237e-01
 1.36945084338469e-01 -1.19137682514397e-01
 1.28786564789562e-01 -1.16166681670721e-01
 1.20992627415115e-01 -1.13127040039991e-01
 1.13555602208873e-01 -1.10026767912106e-01
 1.06465861226398e-01 -1.06877435420091e-01
 9.97099539087202e-02 -1.03697025897011e-01
 9.32764799414855e-02 -1.00497741453328e-01
 8.71560302746546e-02 -9.72865047877653e-02
 8.13370337496169e-02 -9.40737803682976e-02
 7.58056684375398e-02 -9.08731081795297e-02
 7.05550417134427e-02 -8.76852968595140e-02
 6.55759792211649e-02 -8.45153420975509e-02
 6.08542389107236e-02 -8.13751074326210e-02
 5.63812023497666e-02 -7.82676810148187e-02
 5.21494934489113e-02 -7.51938137791190e-02
 4.81497806029937e-02 -7.21570626412110e-02
 4.43704357233778e-02 -6.91644519401576e-02
 4.08015714624540e-02 -6.62205592918311e-02
 3.74356367037043e-02 -6.33262937118681e-02
 3.42636978943591e-02 -6.04840165955455e-02
 3.12781290623864e-02 -5.76948383162646e-02
 2.84788829751076e-02 -5.49530399558653e-02
 2.58534844865043e-02 -5.22656157669240e-02
 2.33997421420362e-02 -4.96294773864487e-02
 2.11107611740743e-02 -4.70449197170178e-02
 1.89734912087052e-02 -4.45186948134329e-02
 1.69884579109236e-02 -4.20460162598873e-02
 1.51467941559393e-02 -3.96297430178715e-02
 1.34388375115273e-02 -3.72724501049676e-02
 1.18531159622471e-02 -3.49775498393487e-02
 1.04046792547991e-02 -3.27332476301167e-02
 9.07831472147113e-03 -3.05444579256360e-02
 7.86318201198176e-03 -2.84148734653849e-02
 6.75055852536877e-03 -2.63465676023635e-02
 5.75607347686549e-03 -2.43319124608298e-02
 4.86993814002004e-03 -2.23719152126715e-02
 4.07253529280234e-03 -2.04745315594410e-02
 3.32275540662567e-03 -1.86546174085897e-02
 2.64590255327238e-03 -1.68964617779318e-02
 2.10259502687625e-03 -1.51796558474825e-02
 1.65716419069242e-03 -1.35142973677359e-02
 1.28636255794369e-03 -1.19050946107567e-02
 1.01591810838218e-03 -1.03516428617093e-02
 8.11736186303762e-04 -8.85452943240309e-03
 6.51725677676366e-04 -7.41786514344836e-03
 5.22769440862593e-04 -6.04089195603490e-03
 4.10391291496631e-04 -4.72276448160769e-03
 3.01483120769095e-04 -3.46206836050999e-03
 1.97772778396944e-04 -2.25639383974486e-03
 9.75778475540651e-05 -1.10460991719807e-03
 0.00000000000000e+00  0.00000000000000e+00
 9.94869302952386e-05  1.10347736631289e-03
 1.92010786242190e-04  2.25610899387791e-03
 2.84794831027418e-04  3.46093743422050e-03
 3.80677345613261e-04  4.71994083326947e-03
 4.76861069693739e-04  6.03576761488158e-03
 5.85890810223019e-04  7.40948352443826e-03
 7.23914443234370e-04  8.84246436622172e-03
 8.99440046403288e-04  1.03372075330929e-02
 1.12889102413138e-03  1.18904307411189e-02
 1.44094778324041e-03  1.35033758170246e-02
 1.81550789748786e-03  1.51765386884275e-02
 2.27011380329446e-03  1.69102287308902e-02
 2.82068265234149e-03  1.86971261980215e-02
 3.45820385901360e-03  2.05454142356574e-02
 4.13817818868886e-03  2.24681374751005e-02
 4.90078076463444e-03  2.44558618215870e-02
 5.76853355937301e-03  2.65026788898475e-02
 6.74461899833216e-03  2.86070578074420e-02
 7.81850510203295e-03  3.07770905429710e-02
 8.98389017054752e-03  3.30189218607668e-02
 1.02674006511108e-02  3.53203809096477e-02
 1.16739725640434e-02  3.76822231253366e-02
 1.32063912338302e-02  4.01061260365462e-02
 1.48607637367359e-02  4.25982518308671e-02
 1.66565320625662e-02  4.51479009358760e-02
 1.85988397079180e-02  4.77560755150530e-02
 2.06960288820594e-02  5.04206957940494e-02
