                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.419673       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -3.23406947444632e-03
 9.73322449566203e-01 -5.77899539981563e-03
 9.46823449135035e-01 -8.73253260632965e-03
 9.20776384944665e-01 -1.33091582764808e-02
 8.95182809604700e-01 -1.78031072381326e-02
 8.70080792096104e-01 -2.38428496685853e-02
 8.45450133638804e-01 -3.12189862602177e-02
 8.21131875164481e-01 -3.96941803322756e-02
 7.96914567134343e-01 -4.89049221714952e-02
 7.73148079716562e-01 -5.87498393746019e-02
 7.49795944214967e-01 -6.89263356767475e-02
 7.26872438527982e-01 -7.94118512978471e-02
 7.04327830658509e-01 -8.99840717117673e-02
 6.82118916541345e-01 -1.00449477588634e-01
 6.60232825498525e-01 -1.10755179141744e-01
 6.38621281659181e-01 -1.20720037391292e-01
 6.17272974170396e-01 -1.30293757560606e-01
 5.96146545581835e-01 -1.39407456188175e-01
 5.74744694665370e-01 -1.48026626052470e-01
 5.53588136721475e-01 -1.56141276106660e-01
 5.32658454973520e-01 -1.63657320919889e-01
 5.11979258020973e-01 -1.70568268757363e-01
 4.91600289952189e-01 -1.76934516334841e-01
 4.71489201838805e-01 -1.82621735142350e-01
 4.51715448509624e-01 -1.87759712479282e-01
 4.32251919079673e-01 -1.92199183265040e-01
 4.13139812236252e-01 -1.95995563061265e-01
 3.94400737756904e-01 -1.99180229072214e-01
 3.76049529251980e-01 -2.01735112486322e-01
 3.58105675346491e-01 -2.03661184296956e-01
 3.40592992343296e-01 -2.05111425612342e-01
 3.23523626109988e-01 -2.05945538182892e-01
 3.06911722509887e-01 -2.06301844166039e-01
 2.90766492488654e-01 -2.06208059906861e-01
 2.75104955556330e-01 -2.05644232711928e-01
 2.59933297803029e-01 -2.04646657963516e-01
 2.45262675359935e-01 -2.03221678499396e-01
 2.31078791375210e-01 -2.01465235807819e-01
 2.17406576421195e-01 -1.99337250090837e-01
 2.04242417222800e-01 -1.96880872181963e-01
 1.91577885121369e-01 -1.94147791492835e-01
 1.79431387143790e-01 -1.91116131372990e-01
 1.67773093488156e-01 -1.87874105899573e-01
 1.56627381354052e-01 -1.84383157216922e-01
 1.45966527231466e-01 -1.80715901355161e-01
 1.35802389246057e-01 -1.76848961473080e-01
 1.26139026678644e-01 -1.72796863035478e-01
 1.16930462001335e-01 -1.68627378823739e-01
 1.08225702808331e-01 -1.64289696436313e-01
 9.99681855885968e-02 -1.59860096438756e-01
 9.21823192274052e-02 -1.55322509906269e-01
 8.48494936654030e-02 -1.50697208285959e-01
 7.79414929229169e-02 -1.46016076538432e-01
 7.14882196157991e-02 -1.41258614944849e-01
 6.54309888107406e-02 -1.36475758339516e-01
 5.97610934242036e-02 -1.31678572948184e-01
 5.44786235305661e-02 -1.26870505057412e-01
 4.95459050748105e-02 -1.22080674825739e-01
 4.50215644438115e-02 -1.17283019092944e-01
 4.08234518217352e-02 -1.12528672379544e-01
 3.69009336672452e-02 -1.07843819023746e-01
 3.33363956849949e-02 -1.03198859769040e-01
 3.00681064189044e-02 -9.86209580591418e-02
 2.70704614486734e-02 -9.41217871166468e-02
 2.43183037831949e-02 -8.97097868671111e-02
 2.17727346744135e-02 -8.53980292190000e-02
 1.94796360104428e-02 -8.11728374641938e-02
 1.73904508918653e-02 -7.70492382283317e-02
 1.54809201309603e-02 -7.30327533299194e-02
 1.37329067453225e-02 -6.91313638247128e-02
 1.21638872719870e-02 -6.53446743668945e-02
 1.07444280447087e-02 -6.16764706052267e-02
 9.46313339767900e-03 -5.81263499464411e-02
 8.31940541635512e-03 -5.46939510212712e-02
 7.29562017518362e-03 -5.13801125702051e-02
 6.38485570901956e-03 -4.81787528649261e-02
 5.59412117035971e-03 -4.50829473212412e-02
 4.90260187623832e-03 -4.20972507933771e-02
 4.28029211839946e-03 -3.92205132545902e-02
 3.71869724811299e-03 -3.64498489513617e-02
 3.25155725281675e-03 -3.37815385483336e-02
 2.86562795971981e-03 -3.12118069104868e-02
 2.52402212847741e-03 -2.87451860714432e-02
 2.20330761539310e-03 -2.63808216002344e-02
 1.90071355975599e-03 -2.41171923052292e-02
 1.62537401258309e-03 -2.19510326274422e-02
 1.38410619350001e-03 -1.98752605649276e-02
 1.17126500102909e-03 -1.78861891343084e-02
 9.76216241493452e-04 -1.59857970282537e-02
 8.00380073947681e-04 -1.41681986978889e-02
 6.56363558240753e-04 -1.24287776765292e-02
 5.43271134362514e-04 -1.07645565675456e-02
 4.50585180546260e-04 -9.17328931079781e-03
 3.63282063107160e-04 -7.65048596847010e-03
 2.59834991490970e-04 -6.19492622731696e-03
 1.76936288925941e-04 -4.80444574033189e-03
 1.27486849338695e-04 -3.47673477434769e-03
 8.34774175042256e-05 -2.21411018019410e-03
 4.09429002494685e-05 -1.03293375848127e-03
 0.00000000000000e+00  0.00000000000000e+00
 4.06991303355324e-05  1.17537850850535e-03
 9.40945895965352e-05  2.39517091478558e-03
 1.65523925017041e-04  3.66944494129787e-03
 2.57895924611902e-04  4.99976103281259e-03
 3.61663719255348e-04  6.38957044637943e-03
 4.56711251186565e-04  7.84222177581186e-03
 5.53744166143110e-04  9.35960755403436e-03
 6.61196890109472e-04  1.09439746638604e-02
 7.90540608415605e-04  1.25968780934611e-02
 9.57016439699163e-04  1.43205275259343e-02
 1.14828971862812e-03  1.61192326148017e-02
 1.34759104218340e-03  1.79967148872817e-02
 1.56889613670458e-03  1.99552409360689e-02
 1.81720613743639e-03  2.19989068368889e-02
 2.09127490875721e-03  2.41330739258725e-02
 2.37650298399800e-03  2.63709217848668e-02
 2.66247406766147e-03  2.87131427751127e-02
 2.96350547470510e-03  3.11547327195915e-02
 3.30422465646674e-03  3.36975111878872e-02
 3.72302908126983e-03  3.63395824757144e-02
 4.21986760401610e-03  3.90864291423122e-02
 4.75721443356497e-03  4.19431608032298e-02
 5.34908508869771e-03  4.49126092067249e-02
 6.04004182922739e-03  4.79879725174500e-02
 6.86058257756540e-03  5.11702059991580e-02
