# Wind Speed (m/s) 	 Rotor Speed (rpm) 	 Pitch Angle (deg) 	 Electrical Power (W) 	 Aerodynamic Power (W) 	 Thrust (N) 	 Torque (Nm) 	 Blade Root Flapwise Moment (Nm) 	 Electrical Power Coefficient (-) 	 Aerodynamic Power Coefficient (-) 	 Thrust Coefficient (-) 	 Torque Coefficient (-) 	 Blade Root Flapwise Moment Coefficient (-)
4.000000e+00	3.893892e+00	0.000000e+00	5.900513e+05	5.325213e+05	2.399370e+05	1.447029e+06	5.357880e+06	4.080908e-01	4.521781e-01	7.354905e-01	4.309084e-02	1.595514e-01
4.514653e+00	4.394892e+00	0.000000e+00	8.483651e+05	7.656495e+05	3.056511e+05	1.843342e+06	6.825299e+06	4.080908e-01	4.521781e-01	7.354905e-01	4.309084e-02	1.595514e-01
5.000796e+00	4.868140e+00	0.000000e+00	1.152994e+06	1.040577e+06	3.750209e+05	2.261702e+06	8.374353e+06	4.080908e-01	4.521781e-01	7.354905e-01	4.309084e-02	1.595514e-01
5.457350e+00	5.312583e+00	0.000000e+00	1.498495e+06	1.352391e+06	4.466228e+05	2.693524e+06	9.973249e+06	4.080908e-01	4.521781e-01	7.354905e-01	4.309084e-02	1.595514e-01
5.883302e+00	5.727236e+00	0.000000e+00	1.877471e+06	1.694417e+06	5.190624e+05	3.130398e+06	1.159085e+07	4.080908e-01	4.521781e-01	7.354905e-01	4.309084e-02	1.595514e-01
6.277706e+00	6.111177e+00	0.000000e+00	2.280933e+06	2.058542e+06	5.909887e+05	3.564176e+06	1.319699e+07	4.080908e-01	4.521781e-01	7.354905e-01	4.309084e-02	1.595514e-01
6.639685e+00	6.463555e+00	0.000000e+00	2.698686e+06	2.435564e+06	6.611078e+05	3.987055e+06	1.476278e+07	4.080908e-01	4.521781e-01	7.354905e-01	4.309084e-02	1.595514e-01
6.968438e+00	6.783586e+00	0.000000e+00	3.119723e+06	2.815550e+06	7.281958e+05	4.391654e+06	1.626087e+07	4.080908e-01	4.521781e-01	7.354905e-01	4.309084e-02	1.595514e-01
7.263233e+00	7.070561e+00	0.000000e+00	3.532642e+06	3.188209e+06	7.911106e+05	4.771085e+06	1.766578e+07	4.080908e-01	4.521781e-01	7.354905e-01	4.309084e-02	1.595514e-01
7.523415e+00	7.323842e+00	0.000000e+00	3.926042e+06	3.543253e+06	8.488039e+05	5.119026e+06	1.895410e+07	4.080908e-01	4.521781e-01	7.354905e-01	4.309084e-02	1.595514e-01
