                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.268056       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  1.74807242539891e-03
 9.81088645093993e-01  2.00818674852896e-03
 9.56536587718894e-01  2.61400661652552e-03
 9.31934328389673e-01  3.39761773336301e-03
 9.07340291133187e-01  4.54617356162387e-03
 8.82825478018031e-01  4.46845190833998e-03
 8.58463695183830e-01  3.28216182561672e-03
 8.34313389753625e-01  1.09169360688814e-03
 8.10429084986895e-01 -2.03125426119208e-03
 7.86865303469059e-01 -6.07629473510800e-03
 7.63676439606544e-01 -1.10324442001302e-02
 7.40885708696705e-01 -1.67673861953323e-02
 7.18504090213781e-01 -2.30892129069247e-02
 6.96494321820221e-01 -2.98445748799724e-02
 6.74852851738442e-01 -3.69232561195116e-02
 6.53627398738384e-01 -4.41937830588966e-02
 6.32792184429005e-01 -5.15358442562270e-02
 6.12316503036762e-01 -5.88294301088989e-02
 5.92175791178574e-01 -6.59744266863465e-02
 5.72354082717583e-01 -7.28923054237940e-02
 5.52839104516578e-01 -7.95120752401122e-02
 5.33622660148717e-01 -8.57736015540915e-02
 5.14701609059332e-01 -9.16280940385411e-02
 4.96081517655777e-01 -9.70478575200810e-02
 4.77770697346886e-01 -1.02006854761393e-01
 4.59776342581458e-01 -1.06480908425279e-01
 4.42110065791998e-01 -1.10464351208154e-01
 4.24787837632241e-01 -1.13972055996649e-01
 4.07822540627890e-01 -1.17010580591370e-01
 3.91225589342792e-01 -1.19590890428462e-01
 3.75010472728433e-01 -1.21737961085007e-01
 3.59184738424783e-01 -1.23451655033003e-01
 3.43759324645263e-01 -1.24762941519802e-01
 3.28741755187714e-01 -1.25692253248845e-01
 3.14138752754826e-01 -1.26270725173149e-01
 2.99954006879117e-01 -1.26516785189025e-01
 2.86191130679735e-01 -1.26433456137951e-01
 2.72852251381496e-01 -1.26062712621700e-01
 2.59936520490995e-01 -1.25423944673841e-01
 2.47444073450470e-01 -1.24532529683603e-01
 2.35372749427435e-01 -1.23405197480250e-01
 2.23718642573528e-01 -1.22069952569348e-01
 2.12478906310419e-01 -1.20535657966197e-01
 2.01649870666218e-01 -1.18811954103338e-01
 1.91223662905598e-01 -1.16931048092935e-01
 1.81197290973907e-01 -1.14893243290098e-01
 1.71560767013361e-01 -1.12728917640481e-01
 1.62307949913432e-01 -1.10446725496392e-01
 1.53430816598432e-01 -1.08060251543280e-01
 1.44920449693386e-01 -1.05584440362057e-01
 1.36767544236013e-01 -1.03033171680477e-01
 1.28960894615948e-01 -1.00424747764515e-01
 1.21493131706035e-01 -9.77645045126057e-02
 1.14354735496302e-01 -9.50624194011895e-02
 1.07533881632363e-01 -9.23326195102649e-02
 1.01020054771104e-01 -8.95852822473118e-02
 9.48051648290715e-02 -8.68237461195691e-02
 8.88765300612188e-02 -8.40623483799910e-02
 8.32231660656024e-02 -8.13096317985532e-02
 7.78377213668758e-02 -7.85665158739612e-02
 7.27118122326948e-02 -7.58357303407381e-02
 6.78318155016711e-02 -7.31302214829204e-02
 6.31906544032374e-02 -7.04507273175596e-02
 5.87815502462975e-02 -6.77970537778177e-02
 5.45953006055548e-02 -6.51727298335871e-02
 5.06203740753300e-02 -6.25853836539563e-02
 4.68478195941366e-02 -6.00390125426190e-02
 4.32713538816947e-02 -5.75330558851561e-02
 3.98830335816040e-02 -5.50690202159907e-02
 3.66757525798304e-02 -5.26477466360874e-02
 3.36468263614288e-02 -5.02655481207037e-02
 3.07866645468897e-02 -4.79269711339996e-02
 2.80915310496357e-02 -4.56298272668040e-02
 2.55561843540109e-02 -4.33727360810642e-02
 2.31696699420882e-02 -4.11623774296963e-02
 2.09319985856059e-02 -3.89930149398926e-02
 1.88342776325013e-02 -3.68679670192685e-02
 1.68666629994041e-02 -3.47916423936796e-02
 1.50236871521827e-02 -3.27636146290931e-02
 1.33188768061700e-02 -3.07692412374988e-02
 1.17428144418752e-02 -2.88113854464436e-02
 1.02861674516467e-02 -2.68947134214520e-02
