                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.265486       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  2.09782988820118e-03
 9.78921455043883e-01  2.93017790379936e-03
 9.54694053779008e-01  3.90378370665366e-03
 9.30506139807066e-01  4.88976024030446e-03
 9.06345004881389e-01  5.89495782201329e-03
 8.82264742638260e-01  5.85949296697421e-03
 8.58324310008630e-01  4.99756963097571e-03
 8.34573732689281e-01  3.37565622785113e-03
 8.11056480139714e-01  1.05280867729861e-03
 7.87816755581637e-01 -1.94248700161861e-03
 7.64896325786119e-01 -5.58611348220026e-03
 7.42317363932789e-01 -9.77211085463669e-03
 7.20099305708208e-01 -1.44788710690466e-02
 6.98245950838374e-01 -1.98395559771744e-02
 6.76766872447128e-01 -2.55119922042421e-02
 6.55672744693168e-01 -3.14173140116512e-02
 6.34955873146234e-01 -3.74684496176656e-02
 6.14605740875679e-01 -4.35706075259561e-02
 5.94612681947431e-01 -4.96414824674668e-02
 5.74966533204089e-01 -5.55977910897631e-02
 5.55655375100196e-01 -6.13514708692264e-02
 5.36677129680957e-01 -6.68573706818559e-02
 5.18029896296388e-01 -7.20666290251716e-02
 4.99714736036810e-01 -7.69433918347885e-02
 4.81725738596910e-01 -8.14209428450004e-02
 4.64061890567159e-01 -8.54504424590761e-02
 4.46732197856052e-01 -8.90243124743391e-02
 4.29746430303312e-01 -9.21401556902725e-02
 4.13117167091590e-01 -9.48095850021929e-02
 3.96855927588704e-01 -9.70519400815724e-02
 3.80975228430095e-01 -9.88971076581455e-02
 3.65482980921300e-01 -1.00357444129129e-01
 3.50386642594483e-01 -1.01450986090287e-01
 3.35693703890646e-01 -1.02219656459115e-01
 3.21408000517615e-01 -1.02674543380344e-01
 3.07532461026000e-01 -1.02789551378380e-01
 2.94068785729011e-01 -1.02697937328383e-01
 2.81017248202955e-01 -1.02340071488202e-01
 2.68376231612245e-01 -1.01753750526649e-01
 2.56143107044683e-01 -1.00970400658808e-01
 2.44313874386113e-01 -1.00007846264036e-01
 2.32884995714984e-01 -9.88758695257111e-02
 2.21850566530995e-01 -9.75995193924276e-02
 2.11204489772986e-01 -9.61910207019256e-02
 2.00939838192535e-01 -9.46669398904649e-02
 1.91051573604961e-01 -9.30267599842070e-02
 1.81531122842615e-01 -9.12903516585957e-02
 1.72370283451412e-01 -8.94737523877894e-02
 1.63559997300669e-01 -8.75899588333363e-02
 1.55092906243531e-01 -8.56433585900527e-02
 1.46960080958348e-01 -8.36426939245791e-02
 1.39150014760348e-01 -8.16080369111800e-02
 1.31654121732064e-01 -7.95464282427173e-02
 1.24465222712848e-01 -7.74579248436414e-02
 1.17572911186946e-01 -7.53526694453684e-02
 1.10967561122746e-01 -7.32384633079095e-02
 1.04642562503701e-01 -7.11124278916723e-02
 9.85870961201882e-02 -6.89863656223263e-02
 9.27915726794981e-02 -6.68667415246203e-02
 8.72475505604016e-02 -6.47568816142286e-02
 8.19465937095203e-02 -6.26598621926240e-02
 7.68798985649206e-02 -6.05794813068118e-02
 7.20395006993333e-02 -5.85178637600056e-02
 6.74178179370340e-02 -5.64761138479359e-02
 6.30065433008905e-02 -5.44570961349917e-02
 5.87964492399146e-02 -5.24664144225627e-02
 5.47807118437736e-02 -5.05042245741733e-02
 5.09533985541056e-02 -4.85689579656516e-02
 4.73086172707841e-02 -4.66591348601530e-02
 4.38394374143524e-02 -4.47764098946397e-02
