                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.231791       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  3.17794531925812e-03
 9.80347209342350e-01  3.38730635515384e-03
 9.56005752839241e-01  3.92373157985623e-03
 9.31678885436954e-01  4.62891715544189e-03
 9.07372258244562e-01  5.70988747752478e-03
 8.83141554663087e-01  5.72088077856469e-03
 8.59050381032604e-01  4.83767703134092e-03
 8.35151060408764e-01  3.13434349662719e-03
 8.11491077995634e-01  6.67764041322494e-04
 7.88120023841615e-01 -2.54746796506852e-03
 7.65086870737547e-01 -6.50295848303968e-03
 7.42419194507415e-01 -1.11014859558417e-02
 7.20133157218969e-01 -1.62578065733488e-02
 6.98225563332695e-01 -2.19616320186552e-02
 6.76702811917197e-01 -2.80044951779362e-02
 6.55574805102890e-01 -3.42857582135486e-02
 6.34829002153085e-01 -4.07022611754697e-02
 6.14448767051965e-01 -4.71458333423717e-02
 5.94420478975942e-01 -5.35260766183937e-02
 5.74732230623089e-01 -5.97606555638451e-02
 5.55371391669124e-01 -6.57662433346241e-02
 5.36333914784812e-01 -7.14916906411231e-02
 5.17616433360254e-01 -7.68848753258548e-02
 4.99220945332211e-01 -8.19127245117714e-02
 4.81146064158219e-01 -8.65254466468186e-02
 4.63393230822913e-01 -9.06827327971777e-02
 4.45971910769412e-01 -9.43746521709381e-02
 4.28894229246672e-01 -9.76068635702328e-02
 4.12173143181771e-01 -1.00390103792895e-01
 3.95820058267335e-01 -1.02740473375794e-01
 3.79847706210759e-01 -1.04685455905418e-01
 3.64263697449591e-01 -1.06231938051871e-01
 3.49076567466797e-01 -1.07402960799958e-01
 3.34293726281158e-01 -1.08232584804861e-01
 3.19919885957802e-01 -1.08740406263610e-01
 3.05958068593240e-01 -1.08921021533834e-01
 2.92410520190592e-01 -1.08845071629500e-01
 2.79278011885640e-01 -1.08506836788382e-01
 2.66559010903422e-01 -1.07929475350380e-01
 2.54251741891348e-01 -1.07139502011149e-01
 2.42352629699656e-01 -1.06154193050682e-01
 2.30857758638621e-01 -1.04991629355179e-01
 2.19762330139696e-01 -1.03667856121677e-01
 2.09061094762559e-01 -1.02192858380153e-01
 1.98746358848430e-01 -1.00592217440962e-01
 1.88814063310631e-01 -9.88629076998036e-02
 1.79254457175000e-01 -9.70322466866735e-02
 1.70060604496308e-01 -9.51095138954895e-02
 1.61224026856825e-01 -9.31063792612294e-02
 1.52736333497804e-01 -9.10332484284377e-02
 1.44588461960679e-01 -8.89005774629541e-02
 1.36769371155033e-01 -8.67262757655958e-02
 1.29271079704182e-01 -8.45158588113627e-02
 1.22085509171518e-01 -8.22733263395102e-02
 1.15202103778605e-01 -8.00094242224694e-02
 1.08610987161568e-01 -7.77327811689238e-02
 1.02305167464989e-01 -7.54425134997733e-02
 9.62730199647726e-02 -7.31522517006619e-02
 9.05048070554321e-02 -7.08684154105341e-02
 8.49925077760130e-02 -6.85931361062250e-02
 7.97278965002285e-02 -6.63286274560786e-02
 7.47003449409854e-02 -6.40830733793403e-02
 6.99023763169227e-02 -6.18577271897560e-02
 6.53269063084136e-02 -5.96527364900338e-02
 6.09653541196400e-02 -5.74711546263094e-02
 5.68075997572203e-02 -5.53197195376692e-02
 5.28461022207558e-02 -5.32002118940400e-02
