                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.241552       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  4.30687616022568e-03
 9.82439393742597e-01  4.26750606143750e-03
 9.57919254806071e-01  4.24460633175078e-03
 9.33380269160362e-01  4.24133063058116e-03
 9.08851379422169e-01  5.44032727666472e-03
 8.84395329287722e-01  5.51223875180950e-03
 8.60083289689521e-01  4.59698155408157e-03
 8.35972009501169e-01  2.77931132217692e-03
 8.12113589571004e-01  1.19571108837247e-04
 7.88561920608168e-01 -3.37624865217800e-03
 7.65372509695125e-01 -7.70788714217287e-03
 7.42576756193928e-01 -1.27770275180614e-02
 7.20186405706996e-01 -1.84291682086575e-02
 6.98204041205859e-01 -2.45282079280831e-02
 6.76633136516518e-01 -3.09796734872222e-02
 6.55463174375757e-01 -3.76644631651050e-02
 6.34678413662870e-01 -4.44661361438544e-02
 6.14257640660300e-01 -5.12671407809358e-02
 5.94183502093266e-01 -5.79712680926431e-02
 5.74442165760603e-01 -6.44974298738058e-02
 5.55020378614609e-01 -7.07677610743118e-02
 5.35912162539780e-01 -7.67259836817545e-02
 5.17113051581220e-01 -8.23183838346371e-02
 4.98625965995881e-01 -8.75146105161383e-02
 4.80453509471539e-01 -9.22790142301028e-02
 4.62599445005734e-01 -9.65788912164750e-02
 4.45073849593326e-01 -1.00402891432930e-01
 4.27890957047391e-01 -1.03762993729489e-01
 4.11064118623790e-01 -1.06669029358000e-01
 3.94604726167366e-01 -1.09133484442730e-01
 3.78525898028994e-01 -1.11182527700832e-01
 3.62835154811586e-01 -1.12818465886106e-01
 3.47542116006326e-01 -1.14068302437450e-01
 3.32654248040548e-01 -1.14958860708030e-01
 3.18177215333030e-01 -1.15517885650184e-01
 3.04114294446791e-01 -1.15753753173133e-01
 2.90468340733807e-01 -1.15690104822480e-01
 2.77240727183201e-01 -1.15363898132045e-01
 2.64430161853875e-01 -1.14785006048966e-01
 2.52035736076880e-01 -1.13977151522965e-01
 2.40054428960740e-01 -1.12956823677960e-01
 2.28482146268606e-01 -1.11748601093155e-01
 2.17315122624171e-01 -1.10361968818430e-01
 2.06548927585776e-01 -1.08805692754503e-01
 1.96175405383409e-01 -1.07111816371347e-01
 1.86191270029989e-01 -1.05276715662624e-01
 1.76586067525129e-01 -1.03332250127089e-01
 1.67353871818044e-01 -1.01283329918216e-01
 1.58486579721644e-01 -9.91416621499901e-02
 1.49975082788449e-01 -9.69219977625738e-02
 1.41810259141917e-01 -9.46363092613564e-02
 1.33981355962328e-01 -9.23013152609596e-02
 1.26480873076034e-01 -8.99216366496171e-02
 1.19299954304389e-01 -8.75045732854158e-02
 1.12427815514037e-01 -8.50616866530107e-02
 1.05854260992644e-01 -8.26025929314440e-02
 9.95718508921800e-02 -8.01284483675813e-02
 9.35683824914582e-02 -7.76538724381738e-02
 8.78337101625734e-02 -7.51858569112490e-02
 8.23602036994638e-02 -7.27256409304020e-02
 7.71397315207051e-02 -7.02750042325033e-02
 7.21600340609941e-02 -6.78455136340155e-02
 6.74138795522444e-02 -6.54381147114716e-02
 6.28945748934083e-02 -6.30523219935529e-02
 5.85932966561029e-02 -6.06913423368763e-02
 5.44991490510919e-02 -5.83627302482509e-02
 5.06038744310646e-02 -5.60696077686444e-02
 4.69014859635179e-02 -5.38108086077991e-02
 4.33849010057971e-02 -5.15868710711092e-02
 4.00466532173035e-02 -4.93992639795785e-02
 3.68825832927509e-02 -4.72455817597484e-02
 3.38846030721491e-02 -4.51288233216852e-02
 3.10477311749849e-02 -4.30476630939858e-02
 2.83677774092296e-02 -4.09995693194566e-02
 2.58347155012993e-02 -3.89911292623105e-02
 2.34480120266953e-02 -3.70166042235042e-02
 2.11998519387201e-02 -3.50784620525841e-02
 1.90804592040190e-02 -3.31821178968602e-02
 1.70862462437262e-02 -3.13258205370197e-02
 1.52283486537527e-02 -2.94941706132864e-02
 1.35014188897423e-02 -2.76878663764294e-02
 1.18952178379625e-02 -2.59134168223285e-02
 1.04018747987708e-02 -2.41748060484351e-02
 9.03104104647616e-03 -2.24621394876620e-02
 7.78009833951177e-03 -2.07751722614878e-02
 6.63127751331361e-03 -1.91244555480294e-02
 5.50424951628754e-03 -1.75638516262545e-02
 4.48109362761920e-03 -1.60309886449652e-02
 3.60656399565658e-03 -1.45016987714179e-02
 2.87852292337811e-03 -1.29796796984252e-02
 2.27076687664601e-03 -1.14818997766461e-02
 1.79562324307987e-03 -1.00125783491331e-02
 1.42565076945379e-03 -8.58135584767820e-03
 1.15477993369019e-03 -7.19393656638914e-03
 9.24786682342983e-04 -5.85957616863753e-03
 7.16736051092223e-04 -4.58223272864269e-03
 5.23906006905440e-04 -3.35934917646020e-03
 3.42807360846559e-04 -2.18916729627429e-03
 1.68922315038082e-04 -1.07004464074450e-03
 0.00000000000000e+00  0.00000000000000e+00
 1.57098104673441e-04  1.07126169869213e-03
 3.06619870844127e-04  2.19286102312412e-03
 4.52164979841856e-04  3.36614390551495e-03
 6.01255052200933e-04  4.59243149178471e-03
 7.54423217315157e-04  5.87414217935146e-03
 9.22175216313842e-04  7.21190116858203e-03
 1.12241155084229e-03  8.60692477113525e-03
 1.36457434976216e-03  1.00588117673505e-02
 1.69421854374066e-03  1.15574263671253e-02
 2.12721474752143e-03  1.31053070556961e-02
 2.62777450329818e-03  1.47055937100008e-02
 3.22245920997917e-03  1.63515287415831e-02
 3.93619473515037e-03  1.80356774076413e-02
 4.73317171356208e-03  1.97702393662704e-02
 5.61131716237833e-03  2.15595964891673e-02
 6.57518601426049e-03  2.34036879183533e-02
 7.66676066032638e-03  2.52816273092120e-02
 8.87721526173298e-03  2.71981540389031e-02
 1.01976879018659e-02  2.91621555412962e-02
 1.16127364915665e-02  3.11863294939985e-02
 1.31551086432270e-02  3.32507054777888e-02
 1.48269084871607e-02  3.53561640936508e-02
 1.66298638922879e-02  3.75052816511480e-02
 1.85611795340289e-02  3.97040000551092e-02
 2.06377507375845e-02  4.19407669499082e-02
 2.28637862593941e-02  4.42156958118230e-02
 2.52467725420409e-02  4.65259033178053e-02
 2.77952331808980e-02  4.88674694734937e-02
 3.05127949823829e-02  5.12400257369598e-02
 3.33979423787347e-02  5.36512852552554e-02
 3.64587444179599e-02  5.60978110856559e-02
 3.97050892642928e-02  5.85744473349162e-02
 4.31420358741531e-02  6.10812878050827e-02
 4.67781524696625e-02  6.36131288805254e-02
 5.06211361139097e-02  6.61669296979588e-02
 5.46780433783150e-02  6.87406924623047e-02
 5.89554057233296e-02  7.13332890273180e-02
 6.34583709372888e-02  7.39456365836972e-02
 6.81973901373401e-02  7.65693238171306e-02
 7.31809150861059e-02  7.91999721056797e-02
 7.84171993692869e-02  8.18334674704371e-02
 8.39144051765817e-02  8.44656847004512e-02
 8.96806516108782e-02  8.70923222283685e-02
 9.57247725697392e-02  8.97063147051928e-02
 1.02056165861463e-01  9.22996846193174e-02
 1.08683505757254e-01  9.48658947254063e-02
 1.15614971280110e-01  9.73992946238665e-02
 1.22858656118042e-01  9.98939210182195e-02
 1.30423223523841e-01  1.02341694846304e-01
 1.38317910919256e-01  1.04730451368448e-01
 1.46552386442779e-01  1.07045410285423e-01
 1.55133767878099e-01  1.09280009596317e-01
 1.64068725959977e-01  1.11428417311275e-01
 1.73365235252606e-01  1.13477636517404e-01
 1.83031139053797e-01  1.15413450917709e-01
