                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.187251       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  6.41760508686107e-05
 9.76691380988927e-01  2.96701574050304e-03
 9.52966305197641e-01  5.00133500218412e-03
 9.29182412410427e-01  5.83073996349535e-03
 9.05450093275651e-01  5.90874209065978e-03
 8.81941179383814e-01  5.42132104391219e-03
 8.58609411208407e-01  3.97856594477067e-03
 8.35446569383802e-01  2.13057534712262e-03
 8.12494127295431e-01 -2.13246369397298e-04
 7.89767648870670e-01 -2.90580979663042e-03
 7.67293336781712e-01 -5.93093921739986e-03
 7.45084115736599e-01 -9.28069806723524e-03
 7.23157988874405e-01 -1.29931016945446e-02
 7.01538368500559e-01 -1.63504334843486e-02
 6.80236564038834e-01 -1.98707127908365e-02
 6.59255435259642e-01 -2.36228990094020e-02
 6.38600195428062e-01 -2.73869252113240e-02
 6.18283255767441e-01 -3.11484870095370e-02
 5.98309845902730e-01 -3.48615216531496e-02
 5.78683782799176e-01 -3.84884715844667e-02
 5.59408425383948e-01 -4.20013425219295e-02
 5.40486529364816e-01 -4.53584305699264e-02
 5.21925688023697e-01 -4.85595740037571e-02
 5.03727847657594e-01 -5.15716532539952e-02
 4.85890536839006e-01 -5.43460611882951e-02
 4.68419999040826e-01 -5.68886248737467e-02
 4.51318471067725e-01 -5.91570173636957e-02
 4.34592001551292e-01 -6.11493124982171e-02
 4.18250279834690e-01 -6.29014044724457e-02
 4.02294025559367e-01 -6.43596794203183e-02
 3.86733342805379e-01 -6.55984768382502e-02
 3.71571695835481e-01 -6.66353381108301e-02
 3.56806668727570e-01 -6.73718326517075e-02
 3.42441672701773e-01 -6.78578165666798e-02
 3.28479945708564e-01 -6.81686696057074e-02
 3.14921100809643e-01 -6.83033475272213e-02
 3.01762384140209e-01 -6.83213938199699e-02
 2.89001464531942e-01 -6.81367866199053e-02
 2.76635223635431e-01 -6.78148856793839e-02
 2.64658329518327e-01 -6.73946762503211e-02
 2.53064876483814e-01 -6.69052855758542e-02
 2.41850634949518e-01 -6.63264741097533e-02
 2.31010720247056e-01 -6.56148606036020e-02
 2.20537539927512e-01 -6.48176510286988e-02
 2.10422804677169e-01 -6.39668487016416e-02
 2.00658893498560e-01 -6.30707528008310e-02
 1.91240019742893e-01 -6.21167256223110e-02
 1.82159315941403e-01 -6.10932479408188e-02
 1.73407256595398e-01 -6.00261099981848e-02
 1.64975596439612e-01 -5.89266999446958e-02
 1.56855156598397e-01 -5.78065341608755e-02
 1.49036886934220e-01 -5.66727119892956e-02
 1.41513813278720e-01 -5.55150979776314e-02
 1.34278741873294e-01 -5.43344199195151e-02
 1.27322530660253e-01 -5.31388382697959e-02
 1.20636422760014e-01 -5.19346071814217e-02
 1.14212636962920e-01 -5.07237948224692e-02
 1.08042037287782e-01 -4.95152930013865e-02
 1.02118400960777e-01 -4.83004525468779e-02
 9.64351888502160e-02 -4.70731705695461e-02
 9.09863975931872e-02 -4.58261675448364e-02
 8.57629692868570e-02 -4.45738171537537e-02
 8.07557882624094e-02 -4.33243501497795e-02
 7.59565842360978e-02 -4.20828285945052e-02
 7.13586134581367e-02 -4.08483998783647e-02
 6.69559197588801e-02 -3.96189116175880e-02
 6.27426304549531e-02 -3.83923063301817e-02
 5.87127385888872e-02 -3.71672334715748e-02
 5.48608717312787e-02 -3.59428966849955e-02
 5.11797750398307e-02 -3.47240185606722e-02
 4.76623577757917e-02 -3.35136560249959e-02
 4.43031517719627e-02 -3.23112168004643e-02
 4.10975640525857e-02 -3.11151023257332e-02
 3.80396971719786e-02 -2.99264384366761e-02
 3.51246672903155e-02 -2.87447779088678e-02
 3.23468788930554e-02 -2.75718456133311e-02
 2.97032030781362e-02 -2.64051840196036e-02
