# Wind Speed (m/s) 	 Rotor Speed (rpm) 	 Pitch Angle (deg) 	 Electrical Power (W) 	 Aerodynamic Power (W) 	 Thrust (N) 	 Torque (Nm) 	 Blade Root Flapwise Moment (Nm) 	 Electrical Power Coefficient (-) 	 Aerodynamic Power Coefficient (-) 	 Thrust Coefficient (-) 	 Torque Coefficient (-) 	 Blade Root Flapwise Moment Coefficient (-)
4.000000e+00	3.893892e+00	0.000000e+00	6.059287e+05	5.468506e+05	2.467711e+05	1.485966e+06	5.467939e+06	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
4.514653e+00	4.394892e+00	0.000000e+00	8.711933e+05	7.862520e+05	3.143569e+05	1.892944e+06	6.965501e+06	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
5.000796e+00	4.868140e+00	0.000000e+00	1.184020e+06	1.068578e+06	3.857026e+05	2.322561e+06	8.546375e+06	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
5.457350e+00	5.312583e+00	0.000000e+00	1.538817e+06	1.388782e+06	4.593439e+05	2.766003e+06	1.017811e+07	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
5.883302e+00	5.727236e+00	0.000000e+00	1.927991e+06	1.740012e+06	5.338467e+05	3.214632e+06	1.182894e+07	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
6.277706e+00	6.111177e+00	0.000000e+00	2.342310e+06	2.113935e+06	6.078217e+05	3.660083e+06	1.346808e+07	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
6.639685e+00	6.463555e+00	0.000000e+00	2.771303e+06	2.501101e+06	6.799380e+05	4.094341e+06	1.506603e+07	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
6.968438e+00	6.783586e+00	0.000000e+00	3.203670e+06	2.891312e+06	7.489367e+05	4.509827e+06	1.659490e+07	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
7.263233e+00	7.070561e+00	0.000000e+00	3.627700e+06	3.273999e+06	8.136436e+05	4.899468e+06	1.802867e+07	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
7.523415e+00	7.323842e+00	0.000000e+00	4.031686e+06	3.638596e+06	8.729802e+05	5.256771e+06	1.934344e+07	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
7.748409e+00	7.542867e+00	0.000000e+00	4.404322e+06	3.974901e+06	9.259751e+05	5.575888e+06	2.051770e+07	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
7.937713e+00	7.727149e+00	0.000000e+00	4.735084e+06	4.273413e+06	9.717735e+05	5.851669e+06	2.153250e+07	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
8.090907e+00	7.876280e+00	0.000000e+00	5.014564e+06	4.525644e+06	1.009645e+06	6.079718e+06	2.237166e+07	4.206081e-01	4.660478e-01	7.592123e-01	4.449389e-02	1.637250e-01
8.207652e+00	7.880496e+00	-2.505847e-03	5.228717e+06	4.718917e+06	1.027248e+06	6.335968e+06	2.271967e+07	4.201211e-01	4.655081e-01	7.506309e-01	4.505951e-02	1.615755e-01
8.287688e+00	7.880496e+00	-7.734000e-02	5.377364e+06	4.853071e+06	1.043813e+06	6.516093e+06	2.305737e+07	4.196675e-01	4.650055e-01	7.480745e-01	4.544978e-02	1.608253e-01
8.330838e+00	7.880496e+00	-1.175446e-01	5.458311e+06	4.926126e+06	1.052721e+06	6.614182e+06	2.323866e+07	4.194000e-01	4.647091e-01	7.466632e-01	4.565729e-02	1.604151e-01
8.337005e+00	7.880496e+00	-1.233223e-01	5.469927e+06	4.936609e+06	1.053995e+06	6.628257e+06	2.326459e+07	4.193604e-01	4.646653e-01	7.464615e-01	4.568678e-02	1.603565e-01
8.367834e+00	7.880496e+00	-1.518715e-01	5.528163e+06	4.989167e+06	1.060340e+06	6.698826e+06	2.339356e+07	4.191581e-01	4.644411e-01	7.454322e-01	4.583360e-02	1.600596e-01
8.374170e+00	7.880496e+00	-1.518715e-01	5.540166e+06	5.000000e+06	1.061257e+06	6.713371e+06	2.341141e+07	4.191153e-01	4.643937e-01	7.449476e-01	4.586363e-02	1.599393e-01
8.540124e+00	7.880496e+00	2.047330e+00	5.540166e+06	5.000000e+06	9.208716e+05	6.713371e+06	2.021061e+07	3.951541e-01	4.378438e-01	6.215265e-01	4.409849e-02	1.327586e-01
8.681202e+00	7.880496e+00	2.823699e+00	5.540169e+06	5.000003e+06	8.746075e+05	6.713375e+06	1.911867e+07	3.762007e-01	4.168429e-01	5.712713e-01	4.267687e-02	1.215372e-01
8.858512e+00	7.880496e+00	3.582490e+00	5.540167e+06	5.000000e+06	8.314694e+05	6.713371e+06	1.808241e+07	3.540598e-01	3.923100e-01	5.215712e-01	4.098552e-02	1.103941e-01
9.071661e+00	7.880496e+00	4.337271e+00	5.540166e+06	5.000000e+06	7.907194e+05	6.713371e+06	1.708626e+07	3.296845e-01	3.653014e-01	4.729745e-01	3.908215e-02	9.946832e-02
9.320174e+00	7.880496e+00	5.093856e+00	5.540166e+06	5.000000e+06	7.520915e+05	6.713371e+06	1.612502e+07	3.040093e-01	3.368524e-01	4.261981e-01	3.702576e-02	8.893312e-02
9.603501e+00	7.880496e+00	5.855396e+00	5.540148e+06	4.999984e+06	7.154611e+05	6.713349e+06	1.519655e+07	2.778874e-01	3.079085e-01	3.818702e-01	3.487317e-02	7.894002e-02
9.921011e+00	7.880496e+00	6.623714e+00	5.540185e+06	5.000017e+06	6.807667e+05	6.713394e+06	1.430011e+07	2.520534e-01	2.792836e-01	3.404673e-01	3.267696e-02	6.960473e-02
1.027200e+01	7.880496e+00	7.400241e+00	5.540177e+06	5.000010e+06	6.479389e+05	6.713384e+06	1.343477e+07	2.270882e-01	2.516213e-01	3.022824e-01	3.048195e-02	6.100025e-02
1.065569e+01	7.880496e+00	8.185737e+00	5.540173e+06	5.000006e+06	6.169349e+05	6.713378e+06	1.260026e+07	2.034298e-01	2.254070e-01	2.674639e-01	2.832626e-02	5.316522e-02
1.107123e+01	7.880496e+00	8.980734e+00	5.540170e+06	5.000003e+06	5.877030e+05	6.713375e+06	1.179609e+07	1.813727e-01	2.009669e-01	2.360235e-01	2.623981e-02	4.610606e-02
