                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.189932       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  1.18673180899307e-04
 9.76696797410435e-01  2.89949779268566e-03
 9.52912971324666e-01  4.87995863647170e-03
 9.29069626652772e-01  5.77223050221350e-03
 9.05273340464868e-01  5.93914845837591e-03
 8.81707367182913e-01  5.52527080959982e-03
 8.58315303751428e-01  4.19234452971349e-03
 8.35094538216778e-01  2.40000452595822e-03
 8.12085714329724e-01  8.54888230915412e-05
 7.89308280235386e-01 -2.62306446089334e-03
 7.66789370584504e-01 -5.70470409225837e-03
 7.44542306200725e-01 -9.15220602211741e-03
 7.22586411480585e-01 -1.30034162991807e-02
 7.00949584604513e-01 -1.64446271032186e-02
 6.79644031038344e-01 -2.00891533659873e-02
 6.58664846788175e-01 -2.40044848935660e-02
 6.38017787207499e-01 -2.79572996505842e-02
 6.17714245002194e-01 -3.19253562587153e-02
 5.97758645313157e-01 -3.58591261558975e-02
 5.78152850929926e-01 -3.97148617149753e-02
 5.58897405325750e-01 -4.34551428752967e-02
 5.39994692535025e-01 -4.70386658146741e-02
 5.21450824441443e-01 -5.04593713579250e-02
 5.03266934721839e-01 -5.36826956394473e-02
 4.85438411541318e-01 -5.66523452726399e-02
 4.67969926888581e-01 -5.93633096901172e-02
 4.50865090562650e-01 -6.17782095093774e-02
 4.34130197448955e-01 -6.38921477696569e-02
 4.17775582013250e-01 -6.57374383633904e-02
 4.01803783541816e-01 -6.72718489235943e-02
 3.86225296699295e-01 -6.85639638064938e-02
 3.71044366687527e-01 -6.96323413025731e-02
 3.56259708200952e-01 -7.03936683747204e-02
 3.41875325547231e-01 -7.08991824865290e-02
 3.27894299049525e-01 -7.12122357994299e-02
 3.14316664800920e-01 -7.13225012729805e-02
 3.01140125611207e-01 -7.13189367616054e-02
 2.88362558219290e-01 -7.11021507577488e-02
 2.75981007046815e-01 -7.07389477561740e-02
 2.63990274915607e-01 -7.02683777498447e-02
 2.52384587184418e-01 -6.97182643911693e-02
 2.41159885285873e-01 -6.90701514403830e-02
 2.30310867413558e-01 -6.82928248932597e-02
 2.19829924666339e-01 -6.74292117279611e-02
 2.09709126756964e-01 -6.65065195506040e-02
 1.99940956004854e-01 -6.55325209086309e-02
 1.90519533062183e-01 -6.44969721918471e-02
 1.81437503509400e-01 -6.33941047077263e-02
 1.72685280193968e-01 -6.22482047854184e-02
 1.64254976974591e-01 -6.10679988111311e-02
 1.56137471133663e-01 -5.98641762367523e-02
 1.48323291496366e-01 -5.86461771073728e-02
 1.40805119633723e-01 -5.74065783962305e-02
 1.33575979211011e-01 -5.61449206438120e-02
 1.26626597903467e-01 -5.48694779764544e-02
 1.19948178281703e-01 -5.35864393718634e-02
 1.13533183505341e-01 -5.22966623012706e-02
