                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.247816       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  2.14851303631092e-04
 9.76706733851106e-01  2.82676411987347e-03
 9.52859745339439e-01  4.72846694779429e-03
 9.28957068756818e-01  5.68995146841878e-03
 9.05096944601352e-01  5.97040373281520e-03
 8.81455316052696e-01  5.65004062614061e-03
 8.57980997908353e-01  4.45349816187283e-03
 8.34681137844643e-01  2.72775188315748e-03
 8.11595506402869e-01  4.44780365245163e-04
 7.88748587013733e-01 -2.29135085337309e-03
 7.66168939218122e-01 -5.45418399164739e-03
 7.43870555111422e-01 -9.02420913269424e-03
 7.21874264719642e-01 -1.30210897867013e-02
 7.00213866489309e-01 -1.66089423463365e-02
 6.78902597741647e-01 -2.04438679594557e-02
 6.57924959703362e-01 -2.45742044663796e-02
 6.37287305548037e-01 -2.87736932576398e-02
 6.16999630059181e-01 -3.30098027295771e-02
 5.97065254462046e-01 -3.72284318962084e-02
 5.77483546439790e-01 -4.13781397312324e-02
 5.58251507014706e-01 -4.54099109200569e-02
 5.39370993528397e-01 -4.92827399337606e-02
 5.20846221504034e-01 -5.29831145685959e-02
 5.02677326475780e-01 -5.64747514336744e-02
 4.84857145482839e-01 -5.96922857386705e-02
 4.67388465207783e-01 -6.26174499621152e-02
 4.50276629837119e-01 -6.52189521426696e-02
 4.33528314861630e-01 -6.74884296953604e-02
 4.17154677072200e-01 -6.94537033499968e-02
 4.01160525922166e-01 -7.10866153504102e-02
 3.85556854886572e-01 -7.24485108927210e-02
 3.70348878055792e-01 -7.35590458504875e-02
 3.55536754030160e-01 -7.43539048806603e-02
 3.41125226921562e-01 -7.48857992336392e-02
 3.27117210297605e-01 -7.52033658756752e-02
 3.13513273467164e-01 -7.52852830621844e-02
 3.00311707082228e-01 -7.52553217091376e-02
 2.87510664759293e-01 -7.49990859496088e-02
 2.75107399014781e-01 -7.45846807365712e-02
 2.63096908300835e-01 -7.40511170574188e-02
 2.51473596841416e-01 -7.34245694536796e-02
 2.40233609873212e-01 -7.26890564199321e-02
 2.29371160822719e-01 -7.18282613690361e-02
 2.18878647684672e-01 -7.08797117596950e-02
 2.08748566519660e-01 -6.98649076005533e-02
 1.98973557667681e-01 -6.87909014600675e-02
 1.89547593772872e-01 -6.76506491642913e-02
 1.80462752844649e-01 -6.64453462411087e-02
 1.71709387307237e-01 -6.51973759873238e-02
 1.63280028533658e-01 -6.39123277109397e-02
 1.55165620753427e-01 -6.25999125586954e-02
 1.47356181766903e-01 -6.12724264338494e-02
 1.39843982824059e-01 -5.99257820545227e-02
 1.32622290840805e-01 -5.85581614886148e-02
 1.25681666438354e-01 -5.71779996211847e-02
 1.19013252647183e-01 -5.57914340205867e-02
 1.12609804039307e-01 -5.43978784037956e-02
 1.06462073033400e-01 -5.30061306989530e-02
 1.00562982966113e-01 -5.16120178936912e-02
 9.49052369875315e-02 -5.02129025037541e-02
 8.94820380574261e-02 -4.88050357620300e-02
 8.42852896994925e-02 -4.73971918551846e-02
 7.93060005136196e-02 -4.59961847526022e-02
 7.45358388055088e-02 -4.46064603441984e-02
 6.99677386420452e-02 -4.32281684425223e-02
 6.55952478761779e-02 -4.18607879420593e-02
 6.14125811436279e-02 -4.05020150126558e-02
 5.74137388537396e-02 -3.91503666590808e-02
 5.35934829445187e-02 -3.78042757620432e-02
 4.99447954626255e-02 -3.64676161439305e-02
 4.64603742045623e-02 -3.51433989126161e-02
 4.31344751694376e-02 -3.38315113293265e-02
 3.99626475089027e-02 -3.25299552819219e-02
 3.69386933602741e-02 -3.12404900748925e-02
 3.40578015990217e-02 -2.99623713527654e-02
 3.13142398268931e-02 -2.86969038671774e-02
 2.87058297356563e-02 -2.74402278844162e-02
 2.62253495678825e-02 -2.61963771957890e-02
 2.38716838058858e-02 -2.49586315646254e-02
 2.16418031757205e-02 -2.37243660746148e-02
 1.95337477807564e-02 -2.24920224929355e-02
 1.75345594356590e-02 -2.12742441711102e-02
 1.56432567152811e-02 -2.00690192058643e-02
 1.38713469265823e-02 -1.88543213268026e-02
