                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.316000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -9.35906602319896e-03
 9.72822332859924e-01 -1.27865060925317e-02
 9.46039577741823e-01 -1.82545490774629e-02
 9.19911132536079e-01 -2.59708213135352e-02
 8.94443923574093e-01 -3.53153984696896e-02
 8.69598575349585e-01 -4.59145246283556e-02
 8.45258735028888e-01 -5.73156322685644e-02
 8.21334330773494e-01 -6.92869581407830e-02
 7.97698194603668e-01 -8.15435636056161e-02
 7.74491812109288e-01 -9.41523815045189e-02
 7.51525454540132e-01 -1.06664355786536e-01
 7.28854138914108e-01 -1.19141896491842e-01
 7.06384510485540e-01 -1.31356187232925e-01
 6.84037006288826e-01 -1.43098270246595e-01
 6.61885856513962e-01 -1.54479656020387e-01
 6.39833435996575e-01 -1.65235629853900e-01
 6.17914742149665e-01 -1.75387300922084e-01
 5.96130735322609e-01 -1.84889111741051e-01
 5.74389018005336e-01 -1.93741397032897e-01
 5.52833468659388e-01 -2.01955282669675e-01
 5.31438307019963e-01 -2.09378214467313e-01
 5.10238606603935e-01 -2.16017864977493e-01
 4.89313707063064e-01 -2.22031991432124e-01
 4.68609058997421e-01 -2.27130828071624e-01
 4.48241908233877e-01 -2.31642480177170e-01
 4.28164473484535e-01 -2.35250725743643e-01
 4.08452524460056e-01 -2.38170979591139e-01
 3.89137507337295e-01 -2.40478145489784e-01
 3.70232521911670e-01 -2.42079584367264e-01
 3.51760929889658e-01 -2.42938922894290e-01
 3.33755995134396e-01 -2.43394463221639e-01
 3.16229750997650e-01 -2.43075316615683e-01
 2.99199312942818e-01 -2.42290068634324e-01
 2.82672577818418e-01 -2.41058579957634e-01
 2.66674687595793e-01 -2.39334069942118e-01
 2.51210827886683e-01 -2.37101372062313e-01
 2.36296620722354e-01 -2.34435007950792e-01
 2.21898514954839e-01 -2.31508902690557e-01
 2.08062062332788e-01 -2.28175831221327e-01
 1.94778031357044e-01 -2.24507022773529e-01
 1.82029349693897e-01 -2.20590735217245e-01
 1.69853697061387e-01 -2.16327119206923e-01
 1.58193321947853e-01 -2.11910377645962e-01
 1.47099916257376e-01 -2.07207475715667e-01
 1.36523891673793e-01 -2.02356933361856e-01
 1.26485630995529e-01 -1.97319939709549e-01
 1.16999384927613e-01 -1.92089266464862e-01
 1.07980511730811e-01 -1.86807342969804e-01
 9.95267840640230e-02 -1.81336405172109e-01
 9.15379335226321e-02 -1.75825165760504e-01
 8.40673687440894e-02 -1.70209658899158e-01
 7.70799783861104e-02 -1.64539671518930e-01
 7.05277275474542e-02 -1.58873028714960e-01
 6.44698595925736e-02 -1.53149518863306e-01
 5.88017574731448e-02 -1.47475185108316e-01
 5.35155809235585e-02 -1.41854073053303e-01
 4.86178329139768e-02 -1.36278155155401e-01
 4.40494784295814e-02 -1.30793751388314e-01
 3.99286655595782e-02 -1.25313095117037e-01
 3.61177140099711e-02 -1.19935102037190e-01
 3.25379851473731e-02 -1.14702615481016e-01
 2.93509969107992e-02 -1.09520831533057e-01
 2.64538987993437e-02 -1.04444538776647e-01
 2.38087486128075e-02 -9.94930753196677e-02
 2.13803699921189e-02 -9.46769428380878e-02
 1.91117330387411e-02 -9.00176006414311e-02
 1.70916904491585e-02 -8.54722026528022e-02
 1.52477719851584e-02 -8.10665147706327e-02
 1.35492008426494e-02 -7.68066661689676e-02
 1.19835497198624e-02 -7.26926559303448e-02
 1.06003088390093e-02 -6.87042942351878e-02
 9.35678430923142e-03 -6.48509572231070e-02
 8.24112678244391e-03 -6.11314344347124e-02
 7.26239542683440e-03 -5.75394422102885e-02
 6.39881494028184e-03 -5.40770172939250e-02
 5.63185559988215e-03 -5.07417789882744e-02
 4.97047555410851e-03 -4.75296359161373e-02
 4.39723403618855e-03 -4.44380107618230e-02
 3.86626731420850e-03 -4.14711653453862e-02
 3.36943456163263e-03 -3.86249205118571e-02
 2.95788323901104e-03 -3.58895402534125e-02
 2.62227940002140e-03 -3.32600346742941e-02
 2.31927470426731e-03 -3.07385966595476e-02
 2.01856378158475e-03 -2.83253620069780e-02
 1.72706549877772e-03 -2.60150831712421e-02
 1.46860658687828e-03 -2.38016691535368e-02
 1.25053762054446e-03 -2.16798682109171e-02
 1.05788525717272e-03 -1.96470690417149e-02
 8.78286018351623e-04 -1.77011904873283e-02
 7.09881298092005e-04 -1.58385147434147e-02
 5.75691086233656e-04 -1.40546022197345e-02
 4.80015902733919e-04 -1.23454896686438e-02
 3.98276357476820e-04 -1.07096377562384e-02
 3.08406048207836e-04 -9.14576710304052e-03
 1.72888897654791e-04 -7.65275883587420e-03
 7.55792268019221e-05 -6.22543656527670e-03
 4.73584689787692e-05 -4.85967121982182e-03
 2.63093374897820e-05 -3.55700681705851e-03
 1.15587540630347e-05 -2.32661176486640e-03
 2.40745960196767e-06 -1.20764957566238e-03
 0.00000000000000e+00  0.00000000000000e+00
 2.09290896469316e-05  1.26122598978140e-03
 7.83524115944640e-05  2.57834318502517e-03
 1.75855559724921e-04  3.95193552370578e-03
 2.91668269075479e-04  5.38667330473104e-03
 3.75821167730258e-04  6.88784602075863e-03
 4.50456145116070e-04  8.45720862635353e-03
 5.33476081229726e-04  1.00960321582420e-02
 6.49576684756909e-04  1.18052437799956e-02
 8.20915407717906e-04  1.35873831623094e-02
 1.00563319017383e-03  1.54484124393725e-02
 1.18402998899494e-03  1.73932425405565e-02
 1.37785805234814e-03  1.94232598735386e-02
 1.61253432623491e-03  2.15392293353309e-02
 1.89352235502947e-03  2.37450378544263e-02
 2.18597414280782e-03  2.60421403595248e-02
 2.46039491003221e-03  2.84374719596595e-02
 2.73677423182011e-03  3.09387778557583e-02
 3.05048186570304e-03  3.35455262205811e-02
 3.44220359590502e-03  3.62569702070080e-02
 3.89826188078720e-03  3.90801158416953e-02
 4.36764276931334e-03  4.20248839123096e-02
 4.85884044737767e-03  4.50953381011846e-02
 5.43185369940304e-03  4.82842381248981e-02
 6.12481037349524e-03  5.15928912648407e-02
 6.91082799920293e-03  5.50267591181412e-02
 7.79896422948667e-03  5.85921299882003e-02
 8.81676057854506e-03  6.22838562007729e-02
 9.98078630129708e-03  6.61037030154892e-02
 1.12833199460645e-02  7.00569305226373e-02
 1.27391382541540e-02  7.41421814039376e-02
 1.43414500660626e-02  7.83673239820004e-02
 1.60623171973579e-02  8.27455706245239e-02
 1.79642129601758e-02  8.72597512336356e-02
 2.00680709665671e-02  9.19055486150333e-02
 2.23558827085549e-02  9.66963685809226e-02
 2.47882406838602e-02  1.01652923290454e-01
 2.74829677567826e-02  1.06729183666963e-01
 3.04631893843650e-02  1.11914014919779e-01
 3.37190309722250e-02  1.17215938146105e-01
 3.72606893485471e-02  1.22630593950504e-01
 4.10897754508228e-02  1.28161469810434e-01
 4.52244625332679e-02  1.33798975014449e-01
 4.97456169731050e-02  1.39492013228088e-01
 5.46445572288386e-02  1.45244023177907e-01
 5.98882581236320e-02  1.51080957380437e-01
 6.55368913443555e-02  1.56957232779060e-01
 7.16129441405059e-02  1.62852173945084e-01
 7.81544814455855e-02  1.68725457756060e-01
 8.51718468097985e-02  1.74560203339079e-01
 9.27004358889200e-02  1.80310027593846e-01
 1.00716635402699e-01  1.85998680498654e-01
 1.09232976175655e-01  1.91592168026150e-01
 1.18298185405054e-01  1.97030389920525e-01
 1.27866657220326e-01  2.02352148541629e-01
 1.37983484586559e-01  2.07485247490363e-01
 1.48655804325781e-01  2.12390986444228e-01
 1.59868467866763e-01  2.17085844589532e-01
 1.71625150542444e-01  2.21544041866236e-01
 1.83944121413546e-01  2.25699151162543e-01
 1.96831144744984e-01  2.29499241341365e-01
 2.10290076339204e-01  2.32888693763390e-01
 2.24290293355550e-01  2.35923802695941e-01
 2.38826719196977e-01  2.38582695745909e-01
 2.53898387193531e-01  2.40808893164849e-01
 2.69487179661070e-01  2.42645311958091e-01
 2.85599066573948e-01  2.43928560083864e-01
 3.02202481052539e-01  2.44867394435978e-01
 3.19299935656900e-01  2.45212902495264e-01
 3.36871438298233e-01  2.45071694620489e-01
 3.54910354497683e-01  2.44494519968075e-01
 3.73384541369083e-01  2.43299264294235e-01
 3.92301327228842e-01  2.41649783326547e-01
 4.11635137491395e-01  2.39480432955234e-01
 4.31372434210856e-01  2.36790707941164e-01
 4.51482966835064e-01  2.33483437135093e-01
 4.71972340153277e-01  2.29702492767392e-01
 4.92803095608109e-01  2.25342499196065e-01
 5.13967008787989e-01  2.20445421218018e-01
 5.35427191199803e-01  2.14951455835114e-01
 5.57184546856790e-01  2.08938056932105e-01
 5.79259462176473e-01  2.02544400723881e-01
 6.01564387197068e-01  1.95537455250133e-01
 6.24163092878767e-01  1.88192242544328e-01
 6.46940848018583e-01  1.80236896589232e-01
 6.69943265053434e-01  1.71927345417755e-01
 6.93063500856984e-01  1.63069119489613e-01
 7.16349798751880e-01  1.53734916980407e-01
 7.39828115000951e-01  1.44069184039571e-01
 7.63414652417818e-01  1.33916668564663e-01
 7.87101234995496e-01  1.23333373309768e-01
 8.10884781169298e-01  1.12377587597148e-01
 8.34747990430619e-01  1.01077582053479e-01
 8.58587154206724e-01  8.92697769140285e-02
 8.82442119587944e-01  7.71399771228646e-02
 9.06290691671602e-01  6.48259520568164e-02
 9.30049804518395e-01  5.21195204887024e-02
 9.53730174621508e-01  3.91164974952552e-02
 9.77076496910446e-01  2.53060596641167e-02
 1.00000000000000e+00  1.05431845128836e-02
