# Wind Speed (m/s) 	 Rotor Speed (rpm) 	 Pitch Angle (deg) 	 Electrical Power (W) 	 Aerodynamic Power (W) 	 Thrust (N) 	 Torque (Nm) 	 Blade Root Flapwise Moment (Nm) 	 Electrical Power Coefficient (-) 	 Aerodynamic Power Coefficient (-) 	 Thrust Coefficient (-) 	 Torque Coefficient (-) 	 Blade Root Flapwise Moment Coefficient (-)
4.000000e+00	3.900470e+00	0.000000e+00	5.852962e+05	5.282298e+05	2.335482e+05	1.432947e+06	5.235460e+06	4.098868e-01	4.541682e-01	7.248991e-01	4.347800e-02	1.588526e-01
4.514653e+00	4.402317e+00	0.000000e+00	8.415282e+05	7.594792e+05	2.975125e+05	1.825403e+06	6.669350e+06	4.098868e-01	4.541682e-01	7.248991e-01	4.347800e-02	1.588526e-01
5.000796e+00	4.876364e+00	0.000000e+00	1.143702e+06	1.032191e+06	3.650352e+05	2.239692e+06	8.183010e+06	4.098868e-01	4.541682e-01	7.248991e-01	4.347800e-02	1.588526e-01
5.457350e+00	5.321558e+00	0.000000e+00	1.486419e+06	1.341493e+06	4.347306e+05	2.667311e+06	9.745373e+06	4.098868e-01	4.541682e-01	7.248991e-01	4.347800e-02	1.588526e-01
5.883302e+00	5.736911e+00	0.000000e+00	1.862341e+06	1.680762e+06	5.052413e+05	3.099934e+06	1.132602e+07	4.098868e-01	4.541682e-01	7.248991e-01	4.347800e-02	1.588526e-01
6.277706e+00	6.121501e+00	0.000000e+00	2.262552e+06	2.041953e+06	5.752524e+05	3.529490e+06	1.289546e+07	4.098868e-01	4.541682e-01	7.248991e-01	4.347800e-02	1.588526e-01
6.639685e+00	6.474474e+00	0.000000e+00	2.676937e+06	2.415936e+06	6.435045e+05	3.948254e+06	1.442547e+07	4.098868e-01	4.541682e-01	7.248991e-01	4.347800e-02	1.588526e-01
6.968438e+00	6.795046e+00	0.000000e+00	3.094582e+06	2.792860e+06	7.088061e+05	4.348915e+06	1.588933e+07	4.098868e-01	4.541682e-01	7.248991e-01	4.347800e-02	1.588526e-01
7.263233e+00	7.082505e+00	0.000000e+00	3.504173e+06	3.162516e+06	7.700457e+05	4.724654e+06	1.726215e+07	4.098868e-01	4.541682e-01	7.248991e-01	4.347800e-02	1.588526e-01
7.523415e+00	7.336214e+00	0.000000e+00	3.894402e+06	3.514698e+06	8.262028e+05	5.069209e+06	1.852102e+07	4.098868e-01	4.541682e-01	7.248991e-01	4.347800e-02	1.588526e-01
